# t,winchvel,rotvel,lightbright
44405,0.113679,1,0.826336
44488,0.111992,1,0.824959
44571,0.110305,1,0.823583
44654,0.108618,1,0.822207
44737,0.106931,1,0.82083
44820,0.105244,1,0.819454
44903,0.103557,1,0.818078
44986,0.10187,1,0.816701
45069,0.100183,1,0.815325
45152,0.098496,1,0.813949
45235,0.0968089,1,0.812573
45318,0.095122,1,0.811196
45401,0.0934349,1,0.80982
45484,0.091748,1,0.808444
45567,0.0900609,1,0.807067
45650,0.088374,1,0.805691
45733,0.086687,1,0.804315
45816,0.085,1,0.802938
45899,0.083313,1,0.801562
45982,0.0816261,1,0.800186
46065,0.079939,1,0.798809
46148,0.0782521,1,0.797433
46231,0.076565,1,0.796057
46314,0.0748781,1,0.79468
46397,0.073191,1,0.793304
46480,0.0715041,1,0.791928
46563,0.0698171,1,0.790552
46646,0.0681301,1,0.789175
46729,0.0664431,1,0.787799
46812,0.0647562,1,0.786423
46895,0.0630691,1,0.785046
46978,0.0613822,1,0.78367
47061,0.0596951,1,0.782294
47144,0.0580082,1,0.780917
47227,0.0563211,1,0.779541
47310,0.0546341,1,0.778165
47393,0.0529472,1,0.776788
47476,0.0512602,1,0.775412
47559,0.0495732,1,0.774036
47642,0.0478861,1,0.772659
47725,0.0461992,1,0.771283
47808,0.0445123,1,0.769907
47891,0.0428252,1,0.76853
47974,0.0411382,1,0.767154
48057,0.0394512,1,0.765778
48140,0.0377642,1,0.764402
48223,0.0360773,1,0.763025
48306,0.0343902,1,0.761649
48389,0.0327033,1,0.760273
48472,0.0310162,1,0.758896
48555,0.0293293,1,0.75752
48638,0.0276423,1,0.756144
48721,0.0259553,1,0.754767
48804,0.0242683,1,0.753391
48887,0.0225813,1,0.752015
48970,0.0208943,1,0.750638
49053,0.0192074,1,0.749262
49136,0.0175203,1,0.747886
49219,0.0158334,1,0.746509
49302,0.0141463,1,0.745133
49385,0.0124594,1,0.743757
49468,0.0107723,1,0.74238
49551,0.00908542,1,0.741004
49634,0.00739837,1,0.739628
49717,0.00571144,1,0.738252
49800,0.00402439,1,0.736875
49883,0.00233746,1,0.735499
49966,0.000650406,1,0.734123
50049,-0.797725,1,0.732746
50132,-0.793947,1,0.73137
50215,-0.79017,1,0.729994
50298,-0.786393,1,0.728617
50381,-0.782616,1,0.727241
50464,-0.778838,1,0.725865
50547,-0.775061,1,0.724488
50630,-0.771284,1,0.723112
50713,-0.767507,1,0.721736
50796,-0.763729,1,0.72036
50879,-0.759952,1,0.718983
50962,-0.756175,1,0.717607
51045,-0.752398,1,0.716231
51128,-0.748621,1,0.714854
51211,-0.744843,1,0.713478
51294,-0.741066,1,0.712102
51377,-0.737289,1,0.710725
51460,-0.733512,1,0.709349
51543,-0.729734,1,0.707973
51626,-0.725957,1,0.706596
51709,-0.72218,1,0.70522
51792,-0.718403,1,0.703844
51875,-0.714625,1,0.702467
51958,-0.710848,1,0.701091
52041,-0.707071,1,0.699715
52124,-0.703294,1,0.698339
52207,-0.699516,1,0.696962
52290,-0.695739,1,0.695586
52373,-0.691962,1,0.69421
52456,-0.688185,1,0.692833
52539,-0.684408,1,0.691457
